product_id,hour_from_launch,upvotes,comments,new_followers,views
1,0,1,0,0,23
1,1,1,0,0,18
1,2,1,0,0,23
1,3,1,0,0,24
1,4,0,0,0,0
1,5,0,0,0,0
1,6,0,0,0,0
1,7,0,0,0,0
1,8,0,0,0,0
1,9,0,0,0,0
1,10,0,0,0,0
1,11,0,0,0,0
1,12,0,0,0,0
1,13,0,0,0,0
1,14,0,0,0,0
1,15,0,0,0,0
1,16,0,0,0,0
1,17,0,0,0,0
1,18,0,0,0,0
1,19,0,0,0,0
1,20,0,0,0,0
1,21,0,0,0,0
1,22,0,0,0,0
1,23,0,0,0,0
2,0,2,0,0,40
2,1,1,0,0,22
2,2,1,0,0,15
2,3,1,0,0,20
2,4,0,0,0,0
2,5,0,0,0,0
2,6,0,0,0,0
2,7,0,0,0,0
2,8,0,0,0,0
2,9,0,0,0,0
2,10,0,0,0,0
2,11,0,0,0,0
2,12,0,0,0,0
2,13,0,0,0,0
2,14,0,0,0,0
2,15,0,0,0,0
2,16,0,0,0,0
2,17,0,0,0,0
2,18,0,0,0,0
2,19,0,0,0,0
2,20,0,0,0,0
2,21,0,0,0,0
2,22,0,0,0,0
2,23,0,0,0,0
3,0,1,0,0,21
3,1,1,0,0,20
3,2,1,0,0,16
3,3,0,0,0,0
3,4,0,0,0,0
3,5,0,0,0,0
3,6,0,0,0,0
3,7,0,0,0,0
3,8,0,0,0,0
3,9,0,0,0,0
3,10,0,0,0,0
3,11,0,0,0,0
3,12,0,0,0,0
3,13,0,0,0,0
3,14,0,0,0,0
3,15,0,0,0,0
3,16,0,0,0,0
3,17,0,0,0,0
3,18,0,0,0,0
3,19,0,0,0,0
3,20,0,0,0,0
3,21,0,0,0,0
3,22,0,0,0,0
3,23,0,0,0,0
4,0,4,4,0,90
4,1,4,4,0,97
4,2,3,4,0,59
4,3,2,2,0,33
4,4,1,2,0,23
4,5,2,2,0,33
4,6,1,1,0,18
4,7,1,1,0,19
4,8,0,1,0,0
4,9,1,1,0,16
4,10,1,1,0,16
4,11,0,1,0,0
4,12,1,1,0,17
4,13,1,1,0,16
4,14,1,0,0,21
4,15,0,1,0,0
4,16,0,0,0,0
4,17,0,0,0,0
4,18,0,0,0,0
4,19,0,0,0,0
4,20,0,0,0,0
4,21,0,0,0,0
4,22,0,0,0,0
4,23,0,0,0,0
5,0,1,1,0,15
5,1,1,0,0,17
5,2,1,0,0,23
5,3,0,0,0,0
5,4,0,0,0,0
5,5,0,0,0,0
5,6,0,0,0,0
5,7,0,0,0,0
5,8,0,0,0,0
5,9,0,0,0,0
